year,mean_temperature_change
1961,0.2
1962,0
1963,0.2
1964,-0.3
1965,-0.2
1966,0.2
1967,-0.1
1968,-0.1
1969,-0.1
1970,0.2
1971,-0.1
1972,-0.2
1973,0.3
1974,-0.2
1975,0.1
1976,-0.3
1977,0.3
1978,0
1979,0.2
1980,0.3
1981,0.4
1982,0.1
1983,0.5
1984,0.1
1985,0
1986,0.2
1987,0.4
1988,0.6
1989,0.3
1990,0.6
1991,0.5
1992,0.2
1993,0.4
1994,0.5
1995,0.8
1996,0.4
1997,0.7
1998,1
1999,0.8
2000,0.7
2001,0.8
2002,1
2003,0.9
2004,0.9
2005,1.1
2006,1
2007,1.2
2008,0.9
2009,0.9
2010,1.2
2011,0.9
2012,1.1
2013,1
2014,1
2015,1.4
2016,1.7
2017,1.4
2018,1.3
2019,1.4
2020,1.7
2021,1.4
