sea_name,value,adjusted_sea_level,upper_error_bound,year
Atlantic Ocean,-15.41,3.440944881,0.464566929,1882
Baltic Sea,196.85,5.232283464,0.66535433,1883
Andaman Sea,-10.34,0,0.952755905,1880
Indian Ocean,-27.63,0.216535433,1.03543307,1887
South China,-3.09,0.299212598,1.118110235,1888
Atlantic Ocean,134.53,0.303149606,1.153543306,1894
Baltic Sea,-18.46,0.220472441,1.173228345,1881
Andaman Sea,39.02,0.362204724,1.181102361,1889
Indian Ocean,19.59,0.374015748,1.188976377,1891
South China,-3.13,0.440944881,1.255905511,1890
Atlantic Ocean,-3.95,0.437007874,1.255905511,1886
Baltic Sea,-4.39,0.468503937,1.303149605,1896
Atlantic Ocean,44.01,0.499999999,1.314960629,1892
Baltic Sea,-13.58,0.531496062,1.393700786,1885
Andaman Sea,3.27,0.59055118,1.464566928,1884
Indian Ocean,-14.88,0.685039369,1.484251967,1893
South China,-4.6,0.673228346,1.492125983,1897
Atlantic Ocean,-2.64,0.984251968,1.590551179,1905
Baltic Sea,-46.65,0.767716535,1.618110235,1895
Andaman Sea,-12.98,1.098425196,1.669291337,1908
Indian Ocean,11.67,1.196850392,1.783464565,1907
South China,-70.61,1.110236219,1.803149604,1901
Atlantic Ocean,-24.43,1.043307086,1.818897636,1898
Baltic Sea,228.05,1.251968503,1.83070866,1906
Atlantic Ocean,112.23,1.271653542,1.846456691,1910
Baltic Sea,-15.95,1.125984251,1.846456691,1900
Andaman Sea,63.31,1.27559055,1.850393699,1909
Indian Ocean,-0.23,1.2007874,1.86614173,1904
South China,9.19,1.291338581,1.972440943,1902
Atlantic Ocean,-38.09,1.476377951,2.035433069,1912
Baltic Sea,-15.9,1.547244093,2.102362203,1913
Andaman Sea,-19.64,1.338582676,2.102362203,1899
Indian Ocean,-23.05,1.598425195,2.157480313,1911
South China,-27.18,1.712598423,2.228346454,1924
Atlantic Ocean,-5.35,1.606299211,2.275590549,1903
Baltic Sea,-13.75,1.791338581,2.29133858,1918
Atlantic Ocean,-16.73,1.791338581,2.326771651,1925
Baltic Sea,-44.41,1.850393699,2.334645667,1928
Andaman Sea,8.14,1.795275589,2.338582675,1914
Indian Ocean,-10.03,1.854330707,2.354330706,1919
South China,-2.48,1.854330707,2.358267714,1917
Atlantic Ocean,-51.91,1.905511809,2.381889761,1929
Baltic Sea,3.81,1.905511809,2.417322832,1920
Andaman Sea,-0.53,1.952755904,2.472440942,1922
Indian Ocean,-8.93,1.988188974,2.503937005,1921
South China,-17.65,2.003937006,2.511811021,1927
Atlantic Ocean,-8.31,1.999999998,2.511811021,1923
Baltic Sea,-17.5,2.047244092,2.527559053,1931
Atlantic Ocean,-2.95,2.062992124,2.535433068,1930
Baltic Sea,-30.85,2.031496061,2.543307084,1916
Andaman Sea,-22.34,2.047244092,2.586614171,1926
Indian Ocean,-10.31,2.10629921,2.641732281,1915
South China,-12.31,2.228346454,2.696850391,1934
Atlantic Ocean,-79.04,2.271653541,2.740157478,1932
Baltic Sea,-15.85,2.295275588,2.759842517,1936
Andaman Sea,32.14,2.440944879,2.905511808,1933
Indian Ocean,28.57,2.448818895,2.917322832,1935
South China,-15.08,2.519685037,2.984251965,1937
Atlantic Ocean,-7.09,2.618110234,3.055118107,1940
Baltic Sea,-25.75,2.622047241,3.08661417,1938
Atlantic Ocean,-16.71,2.84645669,3.267716532,1944
Baltic Sea,5.87,2.826771651,3.307086611,1939
Andaman Sea,76.81,2.95669291,3.377952752,1945
Indian Ocean,-83.58,3.098425194,3.523622044,1941
South China,-4.33,3.098425194,3.523622044,1942
Atlantic Ocean,-16.33,3.098425194,3.523622044,1943
Baltic Sea,-24.28,3.251968501,3.669291335,1946
Andaman Sea,-4.25,3.374015745,3.7519685,1947
Indian Ocean,-5.13,3.51181102,3.842519681,1949
South China,-19.54,3.598425193,3.909448815,1950
Atlantic Ocean,-41.09,3.562992122,3.929133854,1948
Baltic Sea,30.34,3.763779524,4.039370075,1956
Atlantic Ocean,-79.01,3.870078736,4.173228342,1952
Baltic Sea,-37.51,3.929133854,4.216535429,1954
Andaman Sea,8,3.964566925,4.244094484,1955
Indian Ocean,-14.55,3.972440941,4.279527555,1951
South China,82.33,4.043307082,4.338582673,1953
Atlantic Ocean,-7.03,4.169291334,4.433070862,1964
Baltic Sea,-2.65,4.291338578,4.562992121,1957
Andaman Sea,-6.43,4.346456688,4.606299208,1958
Indian Ocean,-40.95,4.358267712,4.614173224,1959
South China,229.71,4.397637791,4.65748031,1966
Atlantic Ocean,-33.18,4.452755901,4.708661413,1967
Baltic Sea,-49.68,4.480314956,4.740157475,1963
Atlantic Ocean,-52.87,4.484251964,4.748031491,1968
