fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
13271,0.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
31123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
55013,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
02240,3.0,0.0,0.0,10.0,9.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29059,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08083,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.0,0.0,260.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13087,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
19153,171.0,160.0,0.0,12.0,91.0,0.0,126.0,113.0,73.0,8580.0,165.0,23.0,0.0,37.0,24.0,86.0,70.0,309.0,53.0,0.0,465.0,88.0,207.0,141.0,6.0,0.0,26.0,14.0,206.0,1.0,721.0
